_id,text
ObjectId("5e28fe3f9f32ef20387f42bd"),RT @Armando_Mtz_A7: #AlMomento Agentes de inteligencia “Borus” @SSP_CDMX lograron detener a dos sujetos implicados en el robo a transeúntes…
ObjectId("5e28fe3f9f32ef20387f42be"),RT @Foro_TV: Robo y extorsión de mascotas en la CDMX. https://t.co/417GHVzxm5 https://t.co/4M9EXXPQOT
ObjectId("5e28fe3f9f32ef20387f42bf"),RT @Foro_TV: Robo y extorsión de mascotas en la CDMX. https://t.co/417GHVzxm5 https://t.co/4M9EXXPQOT
ObjectId("5e28fe3f9f32ef20387f42c0"),Robo y extorsión de mascotas en la CDMX. https://t.co/417GHVzxm5 https://t.co/4M9EXXPQOT
ObjectId("5e28fe3f9f32ef20387f42c1"),RT @Armando_Mtz_A7: #AlMomento Agentes de inteligencia “Borus” @SSP_CDMX lograron detener a dos sujetos implicados en el robo a transeúntes…
ObjectId("5e28fe3f9f32ef20387f42c2"),RT @Armando_Mtz_A7: #AlMomento Agentes de inteligencia “Borus” @SSP_CDMX lograron detener a dos sujetos implicados en el robo a transeúntes…
ObjectId("5e28fe3f9f32ef20387f42c3"),RT @Armando_Mtz_A7: #AlMomento Agentes de inteligencia “Borus” @SSP_CDMX lograron detener a dos sujetos implicados en el robo a transeúntes…
ObjectId("5e28fe3f9f32ef20387f42c4"),RT @Armando_Mtz_A7: #AlMomento Agentes de inteligencia “Borus” @SSP_CDMX lograron detener a dos sujetos implicados en el robo a transeúntes…
ObjectId("5e28fe3f9f32ef20387f42c5"),Captan nuevo asalto a unidad de #TransportePúblico, ahora en pleno Calzada de #Tlalpan en #CDMX

https://t.co/yByepuUHLy
ObjectId("5e28fe3f9f32ef20387f42c6"),Generalmente no soy de juzgar a la gente por como luce pero hoy en la mañana que se subieron dos chavos bastante “c… https://t.co/JxpnvB83go
ObjectId("5e28fe3f9f32ef20387f42c7"),@C5_CDMX @UCS_GCDMX @OpEsMx @FiscaliaCDMX Y no se hizo ninguna accion porque estamos viendo otro asalto más, en la… https://t.co/cqjxCAjplk
ObjectId("5e28fe3f9f32ef20387f42c8"),"Investigan tiroteo en edificio de Ejército Nacional"  https://t.co/mcKvLMHctR
¿Por qué hay tanto crímen, tanto asa… https://t.co/WMqfiMcVWK
ObjectId("5e28fe3f9f32ef20387f42c9"),Les pido de su ayuda, acaban de asaltar al esposo de mi amiga @lauraalma32 y le quitaron su carro es un Jetta 2016… https://t.co/26Q0QLmExO
ObjectId("5e28fe3f9f32ef20387f42ca"),RT @telediario: 🔴#EnDirecto Detienen a familiar de cajero presuntamente involucrado en el asalto del Diputado de Morena, Emmanuel Vargas Be…
ObjectId("5e28fe3f9f32ef20387f42cb"),RT @lasillarota: El detenido de 48 años de edad tiene una orden de aprehensión que aún está vigente
https://t.co/xRPP4qtUox
ObjectId("5e28fe3f9f32ef20387f42cc"),El detenido de 48 años de edad tiene una orden de aprehensión que aún está vigente
https://t.co/xRPP4qtUox
ObjectId("5e28fe3f9f32ef20387f42cd"),Si te pegó "la cuesta de enero", ten cuidado, en estas zonas asaltan más casas de empeño en la #CDMX https://t.co/n9pbi9lftB
ObjectId("5e28fe3f9f32ef20387f42ce"),Asaltan en Polanco y los detienen; traían droga y réplica de arma. Esto es de lo que se les podría juzgar: https://t.co/xRPP4qtUox
ObjectId("5e28fe3f9f32ef20387f42cf"),RT @lasillarota: El detenido de 48 años de edad tiene una orden de aprehensión que aún está vigente
https://t.co/xRPP4qtUox
